artist_name,edition_number,year,artist_nationality,artist_nationality_other,artist_gender,artist_race,artist_ethnicity,book,space_ratio_per_page_total,artist_unique_id,moma_count_to_year,whitney_count_to_year,artist_race_nwi
Bridget Riley,16,2020,British,British,Female,White,Not Hispanic or Latino origin,Gardner,0.246824374,56,0,0,White
Camille Pissarro,5,1970,Danish-French,Other,Male,White,Not Hispanic or Latino origin,Gardner,0.450020664,57,3,0,White
Camille Pissarro,6,1975,Danish-French,Other,Male,White,Not Hispanic or Latino origin,Gardner,0.623202649,57,3,0,White
Camille Pissarro,7,1980,Danish-French,Other,Male,White,Not Hispanic or Latino origin,Gardner,0.398096679,57,3,0,White
Camille Pissarro,8,1986,Danish-French,Other,Male,White,Not Hispanic or Latino origin,Gardner,0.411569563,57,3,0,White
Camille Pissarro,9,1991,Danish-French,Other,Male,White,Not Hispanic or Latino origin,Gardner,0.302481752,57,3,0,White
Camille Pissarro,10,1996,Danish-French,Other,Male,White,Not Hispanic or Latino origin,Gardner,0.412366563,57,3,0,White
Camille Pissarro,11,2001,Danish-French,Other,Male,White,Not Hispanic or Latino origin,Gardner,0.290948276,57,3,0,White
Camille Pissarro,12,2005,Danish-French,Other,Male,White,Not Hispanic or Latino origin,Gardner,0.216905392,57,4,0,White
Camille Pissarro,13,2009,Danish-French,Other,Male,White,Not Hispanic or Latino origin,Gardner,0.306689473,57,4,0,White
Camille Pissarro,14,2013,Danish-French,Other,Male,White,Not Hispanic or Latino origin,Gardner,0.3363691,57,4,0,White
Camille Pissarro,15,2016,Danish-French,Other,Male,White,Not Hispanic or Latino origin,Gardner,0.39152621,57,4,0,White
Camille Pissarro,16,2020,Danish-French,Other,Male,White,Not Hispanic or Latino origin,Gardner,0.366623711,57,4,0,White
C̢ndido Portinari,3,1948,Brazilian,Other,Male,White,Not Hispanic or Latino origin,Gardner,0.479340193,58,2,0,White
Carrie Mae Weems,15,2016,American,American,Female,Black or African American,Not Hispanic or Latino origin,Gardner,0.320457708,60,1,9,Non-White
